	327
#100	1
&	3
&C	2
&c	16
*	1
****	2
*****	2
******	1
******This	1
**Etexts	1
**Information	1
**Welcome	1
*ANY*	1
*EITHER*	1
*Project	1
*These	1
*This	1
*WANT*	1
*not*	1
/	1
0INDEXGUT	1
1	308
10	3
10%	1
100	1
10000	1
100000000=Trillion	1
100th	1
101	1
102	1
103	1
104	1
105	1
106	1
107	1
108	1
109	1
11	1
110	1
111	1
112	1
113	1
114	1
115	1
116	1
117	1
118	1
119	1
12	1
120	1
121	1
122	1
123	1
124	1
125	1
126	1
127	1
128	1
129	1
13	1
130	1
131	1
132	1
133	1
134	1
135	1
136	1
137	1
138	1
139	1
14	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	1
148	1
149	1
15	1
150	1
151	1
152	1
153	1
154	1
1591	2
1592	1
1593	2
1594	2
1595	3
1596	2
1597	2
1598	2
1599	3
16	1
1601	2
1602	2
1603	1
1604	1
1605	2
1606	2
1607	1
1608	2
1609	3
1611	2
1612	1
17	1
18	1
18004430238	1
19	1
1971**	1
19901993	221
1994	1
2	301
20	1
2001	2
21	1
2122545093	1
22	1
23	1
24	1
25	1
26	1
27	1
2782	2
28	1
29	1
3	46
30	1
31	2
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
4	32
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
5	20
50	1
51	1
52	1
53	1
54	1
55	1
56	1
57	1
58	1
59	1
6	10
60	1
61	1
61825	2
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
7	7
70	1
71	1
72	1
726002026@compuservecom;	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
8	3
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	1
89	1
9	3
90	2
91	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
A	1947
AARON	72
ABBESS	19
ABBOT	5
ABERGAVENNY	8
ABHORSON	18
ABOUT	1
ACCESS	1
ACHILLES	88
ACT	227
ACT2|SC7	1
ACT3|SC1	1
